Quantity of electiricy,"Quantity of firewood, cock, coal",Quantity of natural gas,Quantity of capital,Quantity of labor,Quantity of petroleum products,Quantity of output,price of electiricy,"price of firewood, cock, coal",price of natural gas,price of capital,price of labor,price of petroleum products,price of output,Price of Energy,Quantity Inedex,Cost
4.019612355,5.356823757,4.890545547,3.810181103,1.92511196,17.29807891,3.765429025,5.171933098,3.224337107,2.7784871,4.657550423,5.622116211,5.808314368,3.863371202,4.245767918,35.82917689,180.6916836
4.199818778,2.063347779,4.264417274,5.341694108,2.002669632,20.60810009,4.092413245,5.316004988,3.361657296,4.033900075,4.665553471,5.966087946,5.662756776,3.960585388,4.593579784,35.51988318,200.0334799
4.161090228,0.946871797,3.225081854,5.968777374,2.080989595,27.47928881,4.022409652,5.571286642,3.365906042,7.420403654,5.231571696,6.755186801,5.21579972,4.056145727,5.393349014,35.90117818,238.9111442
4.388172827,2.299752904,3.704914123,5.511727408,2.243574972,27.49016148,4.327076698,5.656295965,3.660650106,7.472443511,5.405209732,7.634923247,5.30199533,4.368607812,5.522846228,37.42216527,253.5984296
4.625746324,0.997660502,4.409482138,5.04876795,2.326162769,22.69428806,4.846275031,5.870061869,3.873253262,8.246125886,5.71195979,8.273357737,6.382924184,4.668545211,6.0930913,34.8320193,260.31821
7.123369852,0.893100973,5.196428704,3.98702761,2.749456075,19.24874691,5.575900731,6.629764201,4.017380963,8.392212877,6.71959719,11.03012192,7.101606512,6.242153035,6.535241139,35.36529819,288.2388069
0.572184104,3.006312987,1.078859525,1.048483194,1.021421214,0.814604195,1.084984259,1.010356893,1.010356893,1.010356893,1.010356893,1.010356893,1.010356893,1.010356893,1.010356893,5.471960812,7.619975509
0.686963208,3.459516232,1.093961928,1.163195393,1.051233468,1.002642268,1.085884006,1.092830568,1.218420234,1.018720506,1.099116239,1.041311911,1.220007862,1.088750546,1.137494792,6.420734334,9.676700745
1.728387517,5.926923304,4.129429472,0.696738747,1.319371402,3.841060332,1.238634003,1.628287524,1.657833194,1.118309326,1.202887184,2.110493677,1.578033496,2.000209834,1.495615885,15.59187998,26.94208649
2.09011302,8.570975384,4.498791843,0.739778978,1.409060727,4.80998841,1.355064191,1.775779161,1.296872428,1.267347551,2.268758161,2.391602189,1.817831473,2.254065989,1.539457653,19.01469773,34.32061425
2.520756806,6.541007045,4.154637902,0.877155756,1.466705211,3.905358642,1.592900116,1.933106582,1.600327401,1.508414991,3.013630861,2.602273162,1.96202634,2.403959696,1.750968829,16.71644778,35.73017026
4.106636306,4.376607298,4.687887106,1.141977216,1.448569558,3.937607652,1.687374827,1.971330697,1.849994069,1.501597682,3.199617738,2.917593436,2.000375356,2.567448622,1.830824451,16.99138847,38.98847706
5.113352063,7.616888356,4.862889967,1.354041867,1.453176978,5.511048903,2.048120357,2.489949479,2.275829782,1.963752119,4.11756749,3.671916328,3.421930106,2.798361247,2.537865372,23.04088505,69.38596736
5.229054359,7.282320296,6.913941179,1.58200476,1.503189103,5.324746337,2.339127692,3.04707982,1.977666537,1.646287588,4.097574676,4.15644482,4.05991407,3.115789518,2.682737004,23.60861136,76.0660005
6.038079768,3.693487491,8.373370568,1.699812682,1.445339037,8.967463247,2.41005669,3.179023164,2.796362319,1.727641216,4.106985858,4.568300324,4.585612353,3.218922807,3.072159763,27.70396777,98.69486447
5.362335738,3.093423507,9.845318798,2.274714013,1.457356221,11.234481,2.582017124,3.660892953,2.682478486,2.089015876,4.635924798,5.061259393,5.380371419,3.396884665,3.453189683,31.54813284,126.8631478
5.812878437,2.437106709,7.872010312,2.757049427,1.638781707,12.65888154,3.026391384,3.837804849,2.837954981,3.394822481,4.676658081,5.429574104,5.452068776,3.871227032,3.880662771,32.20229891,146.7579267
6.678411272,2.787229112,5.461296046,3.139767218,1.692759821,12.84030559,3.254224721,4.40249019,2.71693741,6.355461159,5.222812008,5.842213235,5.418849129,3.945667137,4.723434472,29.90686155,167.5509785
7.185111682,2.301588658,5.507203118,3.681548138,1.842160057,19.27304484,3.490951514,4.449747567,3.050012908,6.420930307,5.421484168,6.315540203,5.57644575,4.067817153,4.874284133,37.30358342,213.4219556
8.151643828,2.72505823,5.261979441,3.203799267,1.798164845,20.64789902,3.791180041,4.530630343,3.089740441,6.701107175,5.738854839,7.073603351,6.048870027,4.397730271,5.092586997,40.35460824,236.614997
35.37216335,2.108100012,7.47066082,3.658139531,2.498497256,26.68281656,5.067855548,4.880785941,3.143609875,6.731746685,6.731370624,9.444180933,6.353684995,4.693767604,5.277456874,75.62275136,447.3163622
